[    1020ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    1031ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    1034ms] [LOG] %c%s%c [obtenerTodosPlatos] Usuario: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com ID: 0cdc3557-538f-4455-a7d1-98eaf41b43f2 @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    1036ms] [ERROR] %c%s%c [obtenerTodosPlatos] Error: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   {code: 42P17, details: null, hint: null, message: infinite recursion detected in policy for relation "perfiles"} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:3318
[    1140ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    1149ms] [LOG] [Fast Refresh] done in 111ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    1482ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    1486ms] [LOG] [Fast Refresh] done in 105ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   61657ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   61831ms] [LOG] [Fast Refresh] done in 262ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62215ms] [LOG] [Fast Refresh] rebuilding @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62312ms] [LOG] [Fast Refresh] done in 198ms @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62317ms] [WARNING] %c%s%c Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server. background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62317ms] [LOG] %c%s%c [obtenerTodosPlatos] Session: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62318ms] [LOG] %c%s%c [obtenerTodosPlatos] User: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com ID: 0cdc3557-538f-4455-a7d1-98eaf41b43f2 Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62578ms] [WARNING] %c%s%c Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server. background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62578ms] [LOG] %c%s%c [obtenerTodosPlatos] Session: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62578ms] [LOG] %c%s%c [obtenerTodosPlatos] User: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com ID: 0cdc3557-538f-4455-a7d1-98eaf41b43f2 Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62638ms] [ERROR] %c%s%c [obtenerTodosPlatos] DB Error: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   {code: 42P17, details: null, hint: null, message: infinite recursion detected in policy for relation "perfiles"} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:3318
[   62764ms] [ERROR] %c%s%c [obtenerTodosPlatos] DB Error: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   {code: 42P17, details: null, hint: null, message: infinite recursion detected in policy for relation "perfiles"} @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:3318
[   62815ms] [WARNING] %c%s%c Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server. background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62815ms] [LOG] %c%s%c [obtenerTodosPlatos] Session: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   62816ms] [LOG] %c%s%c [obtenerTodosPlatos] User: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com ID: 0cdc3557-538f-4455-a7d1-98eaf41b43f2 Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   63046ms] [WARNING] %c%s%c Using the user object as returned from supabase.auth.getSession() or from some supabase.auth.onAuthStateChange() events could be insecure! This value comes directly from the storage medium (usually cookies on the server) and may not be authentic. Use supabase.auth.getUser() instead which authenticates the data by contacting the Supabase Auth server. background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   63046ms] [LOG] %c%s%c [obtenerTodosPlatos] Session: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   63046ms] [LOG] %c%s%c [obtenerTodosPlatos] User: background: #e6e6e6;background: light-dark(rgba(0,0,0,0.1), rgba(255,255,255,0.25));color: #000000;color: light-dark(#000000, #ffffff);border-radius: 2px  Server   admin@ekitchen.com ID: 0cdc3557-538f-4455-a7d1-98eaf41b43f2 Error: null @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
